links,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object
{'self': 'http://www.neowsapp.com/rest/v1/neo/2277142?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},2277142,2277142,277142 (2005 LG8),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2277142,16.84,"{'kilometers': {'estimated_diameter_min': 1.1390819672, 'estimated_diameter_max': 2.5470647106}, 'meters': {'estimated_diameter_min': 1139.0819672164, 'estimated_diameter_max': 2547.06471064}, 'miles': {'estimated_diameter_min': 0.7077925011, 'estimated_diameter_max': 1.5826721463}, 'feet': {'estimated_diameter_min': 3737.1456813222, 'estimated_diameter_max': 8356.5117852563}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 02:28', 'epoch_date_close_approach': 1647311280000, 'relative_velocity': {'kilometers_per_second': '31.0902378332', 'kilometers_per_hour': '111924.8561996752', 'miles_per_hour': '69545.7530091815'}, 'miss_distance': {'astronomical': '0.3137346647', 'lunar': '122.0427845683', 'kilometers': '46934037.584284189', 'miles': '29163458.6273282482'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2159928?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},2159928,2159928,159928 (2005 CV69),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2159928,17.99,"{'kilometers': {'estimated_diameter_min': 0.6707411893, 'estimated_diameter_max': 1.4998228946}, 'meters': {'estimated_diameter_min': 670.7411893253, 'estimated_diameter_max': 1499.8228946405}, 'miles': {'estimated_diameter_min': 0.4167791236, 'estimated_diameter_max': 0.9319464519}, 'feet': {'estimated_diameter_min': 2200.5945235861, 'estimated_diameter_max': 4920.6789456524}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 17:22', 'epoch_date_close_approach': 1647364920000, 'relative_velocity': {'kilometers_per_second': '14.2881613666', 'kilometers_per_hour': '51437.3809195919', 'miles_per_hour': '31961.1881608431'}, 'miss_distance': {'astronomical': '0.4398165432', 'lunar': '171.0886353048', 'kilometers': '65795618.053482984', 'miles': '40883501.2652898192'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3736659?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},3736659,3736659,(2015 XK351),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3736659,20.25,"{'kilometers': {'estimated_diameter_min': 0.2368944994, 'estimated_diameter_max': 0.5297122041}, 'meters': {'estimated_diameter_min': 236.8944993559, 'estimated_diameter_max': 529.7122040557}, 'miles': {'estimated_diameter_min': 0.147199372, 'estimated_diameter_max': 0.3291478019}, 'feet': {'estimated_diameter_min': 777.212949267, 'estimated_diameter_max': 1737.900987554}}",True,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 13:15', 'epoch_date_close_approach': 1647350100000, 'relative_velocity': {'kilometers_per_second': '14.5534470417', 'kilometers_per_hour': '52392.4093502863', 'miles_per_hour': '32554.6056876821'}, 'miss_distance': {'astronomical': '0.3072891476', 'lunar': '119.5354784164', 'kilometers': '45969801.955075612', 'miles': '28564310.3902109656'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3758927?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},3758927,3758927,(2016 RN1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3758927,21.0,"{'kilometers': {'estimated_diameter_min': 0.1677084622, 'estimated_diameter_max': 0.3750075218}, 'meters': {'estimated_diameter_min': 167.7084621628, 'estimated_diameter_max': 375.0075217981}, 'miles': {'estimated_diameter_min': 0.1042091748, 'estimated_diameter_max': 0.2330187988}, 'feet': {'estimated_diameter_min': 550.2246310023, 'estimated_diameter_max': 1230.3396778159}}",True,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 14:09', 'epoch_date_close_approach': 1647353340000, 'relative_velocity': {'kilometers_per_second': '17.0495617373', 'kilometers_per_hour': '61378.4222542926', 'miles_per_hour': '38138.1646501742'}, 'miss_distance': {'astronomical': '0.1918766994', 'lunar': '74.6400360666', 'kilometers': '28704345.532870278', 'miles': '17836053.2453467164'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54239833?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54239833,54239833,(2022 BZ),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54239833,24.12,"{'kilometers': {'estimated_diameter_min': 0.0398616229, 'estimated_diameter_max': 0.0891332986}, 'meters': {'estimated_diameter_min': 39.8616229277, 'estimated_diameter_max': 89.1332985597}, 'miles': {'estimated_diameter_min': 0.0247688565, 'estimated_diameter_max': 0.0553848469}, 'feet': {'estimated_diameter_min': 130.779606966, 'estimated_diameter_max': 292.4320912466}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 21:07', 'epoch_date_close_approach': 1647378420000, 'relative_velocity': {'kilometers_per_second': '7.0953003895', 'kilometers_per_hour': '25543.08140224', 'miles_per_hour': '15871.4774412974'}, 'miss_distance': {'astronomical': '0.0927456277', 'lunar': '36.0780491753', 'kilometers': '13874548.355732999', 'miles': '8621244.5758294262'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54193347?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54193347,54193347,(2021 RA4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54193347,24.32,"{'kilometers': {'estimated_diameter_min': 0.0363542322, 'estimated_diameter_max': 0.0812905344}, 'meters': {'estimated_diameter_min': 36.3542321843, 'estimated_diameter_max': 81.290534434}, 'miles': {'estimated_diameter_min': 0.0225894656, 'estimated_diameter_max': 0.0505115807}, 'feet': {'estimated_diameter_min': 119.2724191197, 'estimated_diameter_max': 266.7012369924}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 01:12', 'epoch_date_close_approach': 1647306720000, 'relative_velocity': {'kilometers_per_second': '14.7340479525', 'kilometers_per_hour': '53042.5726289222', 'miles_per_hour': '32958.5918648989'}, 'miss_distance': {'astronomical': '0.3240578734', 'lunar': '126.0585127526', 'kilometers': '48478367.617369658', 'miles': '30123060.8125429604'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54248570?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54248570,54248570,(2022 DP3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54248570,24.655,"{'kilometers': {'estimated_diameter_min': 0.0311569528, 'estimated_diameter_max': 0.0696690645}, 'meters': {'estimated_diameter_min': 31.1569528163, 'estimated_diameter_max': 69.6690644689}, 'miles': {'estimated_diameter_min': 0.0193600269, 'estimated_diameter_max': 0.0432903363}, 'feet': {'estimated_diameter_min': 102.2209770777, 'estimated_diameter_max': 228.5730534722}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 16:34', 'epoch_date_close_approach': 1647362040000, 'relative_velocity': {'kilometers_per_second': '10.7896991291', 'kilometers_per_hour': '38842.9168645908', 'miles_per_hour': '24135.4779817787'}, 'miss_distance': {'astronomical': '0.0076787545', 'lunar': '2.9870355005', 'kilometers': '1148725.317452915', 'miles': '713784.813623627'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54055102?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54055102,54055102,(2020 TV2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54055102,26.0,"{'kilometers': {'estimated_diameter_min': 0.0167708462, 'estimated_diameter_max': 0.0375007522}, 'meters': {'estimated_diameter_min': 16.7708462163, 'estimated_diameter_max': 37.5007521798}, 'miles': {'estimated_diameter_min': 0.0104209175, 'estimated_diameter_max': 0.0233018799}, 'feet': {'estimated_diameter_min': 55.0224631002, 'estimated_diameter_max': 123.0339677816}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 16:57', 'epoch_date_close_approach': 1647363420000, 'relative_velocity': {'kilometers_per_second': '15.3542426527', 'kilometers_per_hour': '55275.2735495897', 'miles_per_hour': '34345.9053897437'}, 'miss_distance': {'astronomical': '0.22336371', 'lunar': '86.88848319', 'kilometers': '33414735.2512977', 'miles': '20762953.69420026'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54253540?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54253540,54253540,(2022 ED4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54253540,26.58,"{'kilometers': {'estimated_diameter_min': 0.012839703, 'estimated_diameter_max': 0.0287104486}, 'meters': {'estimated_diameter_min': 12.8397029582, 'estimated_diameter_max': 28.7104486255}, 'miles': {'estimated_diameter_min': 0.0079782191, 'estimated_diameter_max': 0.0178398402}, 'feet': {'estimated_diameter_min': 42.1250110534, 'estimated_diameter_max': 94.1943882684}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 14:12', 'epoch_date_close_approach': 1647353520000, 'relative_velocity': {'kilometers_per_second': '17.0055548122', 'kilometers_per_hour': '61219.9973240474', 'miles_per_hour': '38039.7255594894'}, 'miss_distance': {'astronomical': '0.0052813783', 'lunar': '2.0544561587', 'kilometers': '790082.944344221', 'miles': '490934.7766674098'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3663258?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},3663258,3663258,(2014 EL),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3663258,27.0,"{'kilometers': {'estimated_diameter_min': 0.0105816886, 'estimated_diameter_max': 0.023661375}, 'meters': {'estimated_diameter_min': 10.5816885933, 'estimated_diameter_max': 23.6613750114}, 'miles': {'estimated_diameter_min': 0.0065751544, 'estimated_diameter_max': 0.0147024923}, 'feet': {'estimated_diameter_min': 34.7168272045, 'estimated_diameter_max': 77.6291855923}}",False,"[{'close_approach_date': '2022-03-15', 'close_approach_date_full': '2022-Mar-15 10:07', 'epoch_date_close_approach': 1647338820000, 'relative_velocity': {'kilometers_per_second': '23.0744582356', 'kilometers_per_hour': '83068.0496482522', 'miles_per_hour': '51615.2556272709'}, 'miss_distance': {'astronomical': '0.3638544982', 'lunar': '141.5393997998', 'kilometers': '54431857.920638834', 'miles': '33822388.1469065492'}, 'orbiting_body': 'Earth'}]",False
